STOCK,EXECUTEDDATE,ENTRYPOINT,STOPLOSS,QUANTITIES
AIROLAM,11-03-2024,153.7,151.85,1
ASHIMASYN,11-03-2024,19.7,18.65,1
INDIGO,11-03-2024,3033.05,3020,1
WELSPUNLIV,11-03-2024,148.8,143.3,1
AARTIIND,11-03-2024,711.96,600,6
AARTIPHARM,11-03-2024,935.77,400,1
ADVENZYMES,11-03-2024,415.25,351,28
AWL,11-03-2024,380,320,5
BAJAJHIND,11-03-2024,36.65,27,490
CLEAN,11-03-2024,1870,1200,2
ENTERO,11-03-2024,1258,1000,16
FEDFINA,11-03-2024,140,100,107
HAPPSTMINDS,11-03-2024,1057.92,700,12
HDFCBANK,11-03-2024,1441,1360,21
INDBANK,11-03-2024,54.7,38,1
INDUSTOWER,11-03-2024,240.25,200,10
ISMTLTD,11-03-2024,95.7,85,1
JPPOWER,11-03-2024,18.1,12,100
JWL,11-03-2024,379.6,320,1
KHAICHEM,11-03-2024,82.6,65,1
PATELENG,11-03-2024,68.25,50,91
SBICARD,11-03-2024,743,650,41
SUTLEJTEX,11-03-2024,64.8,50,1
